"2759249","23475","Tambourine","Luiz Quinha","Djavan","Djavan"
"2759250","23475","Tambourine","Paulinho De Pilares","Djavan","Djavan"
"822249","23475","Trombone","Serginho Do Trombone","Djavan","Djavan"
"553678","23475","Trumpet","Bidinho","Djavan","Djavan"
"297259","23475","Trumpet","Marcio Montarroyos","Djavan","Djavan"
"392243","23475","Vocals","Flávia Virgínia","Djavan","Djavan"
"392425","392426","Producer","Aramis Barros","Bezerra Da Silva","Produto Do Morro"
"392425","392426","Producer","Aramis Barros","Bezerra Da Silva","É Esse Aí Que É O Homem"
"392425","392426","Producer","Aramis Barros","Bezerra Da Silva","Alô Malandragem, Maloca O Flagrante!"
"257872","391940","Producer","Paulo Ferreira","Banda Mel","Prefixo De Verão"
"401260","393641","Producer","Antonio Fernandes","Banda Reflexu's","Da Mãe África"
"41453","336605","Co-producer","Carlinhos Brown","Marisa Monte","Barulhinho Bom - Uma Viagem Musical"
"10293","336605","Producer","Arto Lindsay","Marisa Monte","Barulhinho Bom - Uma Viagem Musical"
"418870","418869","Producer","Sandra Regina Gonçalves","Ricardo Chaves","Sempre Demais"
"421382","182175","Bass","Robinho","Wilson Simoninha","MTV Apresenta Simoninha Canta Jorge Ben Jor"
"421390","182175","Drums","Daniel De Paula","Wilson Simoninha","MTV Apresenta Simoninha Canta Jorge Ben Jor"
"421389","182175","Flute, Saxophone [Tenor]","Ubaldo Versolato","Wilson Simoninha","MTV Apresenta Simoninha Canta Jorge Ben Jor"
"421388","182175","Guitar","Carlinhos Noronha","Wilson Simoninha","MTV Apresenta Simoninha Canta Jorge Ben Jor"
"421387","182175","Guitar","Tadeu Dias","Wilson Simoninha","MTV Apresenta Simoninha Canta Jorge Ben Jor"
"421381","182175","Keyboards","Quincas Moreira","Wilson Simoninha","MTV Apresenta Simoninha Canta Jorge Ben Jor"
"421385","182175","Percussion","Fred Prince","Wilson Simoninha","MTV Apresenta Simoninha Canta Jorge Ben Jor"
"421383","182175","Percussion","Márcio Forte","Wilson Simoninha","MTV Apresenta Simoninha Canta Jorge Ben Jor"
"421384","182175","Piano","Marcelo Maita","Wilson Simoninha","MTV Apresenta Simoninha Canta Jorge Ben Jor"
"421380","182175","Trumpet, Flugelhorn","Junior Galante","Wilson Simoninha","MTV Apresenta Simoninha Canta Jorge Ben Jor"
"432240","432239","Producer","Pedrinho Da Luz","Ginga Pura","Ginga Pura"
"432453","432455","Producer","Lobão Ramos","Grupo Ke-Ki-Ha","Choro De Amor"
"432454","432455","Producer","Prateado","Grupo Ke-Ki-Ha","Choro De Amor"
"432485","403387","Producer","Jorge Cardoso","Negritude Junior","Negritude Junior"
"433125","309499","Producer","Mauro Almeida","Olodum","O Movimento"
"433129","309499","Vocals","Pierre Onassis","Olodum","O Movimento"
"2209463","281907","Bass","Gabriel Bahlis","Papete","Berimbau E Percussao: Music And Rhythms Of Brasil"
"797213","281907","Bass","Otacilio","Papete","Berimbau E Percussao: Music And Rhythms Of Brasil"
"281906","281907","Compiled By","Stuart Baker","Papete","Berimbau E Percussao: Music And Rhythms Of Brasil"
"2209540","281907","Cuica","Osvaldinho Da Cuíca","Papete","Berimbau E Percussao: Music And Rhythms Of Brasil"
"735750","281907","Drums","Mutinho","Papete","Berimbau E Percussao: Music And Rhythms Of Brasil"
"163383","281907","Drums","William","Papete","Berimbau E Percussao: Music And Rhythms Of Brasil"
"750415","281907","Flute","Demétrio","Papete","Berimbau E Percussao: Music And Rhythms Of Brasil"
"797214","281907","Flute","Pestana","Papete","Berimbau E Percussao: Music And Rhythms Of Brasil"
"333237","281907","Ganzá","Jorginho","Papete","Berimbau E Percussao: Music And Rhythms Of Brasil"
"450995","281907","Organ, Guitar, Percussion","Theo De Barros","Papete","Berimbau E Percussao: Music And Rhythms Of Brasil"
"86031","281907","Piano","Eliane Elias","Papete","Berimbau E Percussao: Music And Rhythms Of Brasil"
"451000","281907","Surdo","Balto","Papete","Berimbau E Percussao: Music And Rhythms Of Brasil"
"450996","281907","Trombone","Felpudo","Papete","Berimbau E Percussao: Music And Rhythms Of Brasil"
"450997","281907","Viola, Cavaquinho","Ayres","Papete","Berimbau E Percussao: Music And Rhythms Of Brasil"
"433125","391940","Producer","Mauro Almeida","Banda Mel","O Pulo Da Gata"
"433125","391940","Producer","Mauro Almeida","Banda Mel","Mãe Preta"
"433125","391940","Producer","Mauro Almeida","Banda Mel","Todo Mundo Dança"
"713891","463040","Arranged By","Nilo Romero E Banda","Ana Carolina","Ana Carolina"
"226429","463040","Bass","Arthur Maia","Ana Carolina","Ana Carolina"
"708636","463040","Bass","Dunga","Ana Carolina","Ana Carolina"
"380022","463040","Cello","Hugo Vargas Pilger","Ana Carolina","Ana Carolina"
"664625","463040","Cello","Lui Coimbra","Ana Carolina","Ana Carolina"
"662678","463040","Conductor","Paschoal Perrota","Ana Carolina","Ana Carolina"
"2147454","463040","Coordinator [Graphic Coordinator]","Emil Ferreira","Ana Carolina","Ana Carolina"
"1675549","463040","Cover","Gringo Cardia","Ana Carolina","Ana Carolina"
